Etiquetas de fila,3,4,5,7,8,9,10,12,14,15,16,19,21,22,24,27,35,37,40,44,45,46,57,74,83,100,101,103,104,105,119,121,137,155,249,Total general,CONTEO5MAS,ACCIDE5MAS
33,1,,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,1,1
34,,,,,,8,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,9,0,0
35,,,,,,7,,2,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,11,0,0
36,,,,,,9,3,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,14,0,0
37,,,,,1,1,9,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12,0,0
38,1,,,10,,27,4,,,,,,,,,,,,,2,1,1,,,,,,1,,,,,,,,47,1,1
39,3,,,11,1,27,,7,,,,,,,2,1,,,,5,1,10,,,,,,1,,,,,,,,69,3,1
40,,,,2,1,30,,2,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,38,0,0
41,,,,,,11,,1,,,,,,,2,,,,,1,,1,,,,,,1,,,,,,,,17,0,0
42,,,,,,9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,0,0
43,1,1,,,,5,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,10,1,1
44,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,8,0,0
45,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,0,0
46,,,,,,8,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,11,0,0
47,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,0,0
48,,,,3,1,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,0,0
49,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,0,0
50,1,,,2,,11,,2,,,,,,,2,,,,,,,1,,,,,,1,,,,,,,,20,1,1
51,,,,1,1,15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,18,0,0
52,,,,,,23,8,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,33,0,0
