ID;3;4;5;7;8;9;10;12;14;15;16;19;21;22;24;27;35;37;40;43;44;45;46;57;74;83;93;100;101;103;104;105;107;119;120;121;137;155;249;TOT_INCIDENTES;TOT_ACIDENTES;BIN_ACCIDENTES
23;3;;2;;1;43;;5;1;;;;;;;;2;20;;;8;2;6;;1;;;2;;1;;;;;;;;6;;103;3;1
24;2;;;;;23;;10;21;;;;;;;;;;;;22;;;;;;;;;1;;;;;;;;;;79;2;1
25;2;;;4;;53;;5;;;;;;;2;;;;;;1;;5;;1;;;;;1;;;;;;;;;;74;2;1
26;2;;;;1;54;;3;;;;;;;;;;;;;;;5;;1;;;;;1;;;;;;;;;;67;2;1
27;2;2;1;10;;48;;11;;;;;;;1;4;;;;;4;;2;;1;;;;;1;;;;;;;;;;87;2;1
28;4;;1;4;2;47;;3;;;1;;;1;;;7;14;;;;;6;;1;;;2;6;1;;;;;;;;2;;102;4;1
29;3;;;2;1;85;1;3;1;;;;;;1;;;;;;3;1;2;;;;;;;1;;;;;;;;;;104;3;1
30;3;;;;;25;;4;17;;;;;;;;;;;;14;8;;;;;1;;;1;;;;;;;;;;73;3;1
31;1;;2;4;2;33;;2;;;;;;;3;;;;;;;;1;;;;;;;1;;;;;;;;;;49;1;1
32;4;;;;;23;;5;17;;;;;;;;;;;;14;8;;;;;1;;;1;;;;;;;;;;73;4;1
33;2;;2;4;2;32;;2;;;;;;;3;;;;;;;;1;;;;;;;1;;;;;;;;;;49;2;1
34;2;;;;1;34;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;40;2;1
35;;;;1;2;34;;8;;;;;;;;;;;;;;;2;;;;;;;1;;;;;;;;;;48;0;0
36;2;;;;;27;21;2;;;;;;;2;;;;;;;;3;;;;;;;1;;;;;;;;;;58;2;1
37;1;;;;2;12;31;1;;;;;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;50;1;1
38;2;;1;15;1;53;4;2;;;;;;;;;;;;;4;1;4;;;;;;;1;;;;;;;;;;88;2;1
39;5;;;21;2;54;;13;1;;;;1;;3;3;;;;;7;2;12;;2;;;;;1;;;;;;;;;;127;5;1
40;;;1;4;3;58;;5;;;;;;;;1;;;;;4;;4;;;;;;;1;;;;;;;;;;81;0;0
